Summary,Temperature (C),Humidity,Pressure (millibars)
Partly Cloudy,13.93333333,0.58,1014.47
Partly Cloudy,15.09444444,0.59,1014.16
Mostly Cloudy,15.15,0.5,1014.07
Partly Cloudy,16.17777778,0.44,1013.34
Partly Cloudy,16.25,0.55,1012.72
Partly Cloudy,16.29444444,0.5,1012.38
Partly Cloudy,16.1,0.56,1012.38
Partly Cloudy,12.95555556,0.68,1012.72
Mostly Cloudy,13.85,0.64,1013.42
Mostly Cloudy,12.77777778,0.69,1014.41
Mostly Cloudy,12.15,0.72,1014.89
Mostly Cloudy,10.67777778,0.81,1014.91
Mostly Cloudy,10.44444444,0.83,1014.75
Mostly Cloudy,9.822222222,0.8,1015.55
Mostly Cloudy,11.02777778,0.74,1015.7
Mostly Cloudy,7.138888889,0.93,1016.43
Mostly Cloudy,7.622222222,0.89,1016.56
Mostly Cloudy,7.627777778,0.86,1017.15
Mostly Cloudy,7.044444444,0.86,1017.37
Partly Cloudy,8.6,0.84,1018.25
Partly Cloudy,9.65,0.84,1019.24
Partly Cloudy,12.10555556,0.72,1019.83
Partly Cloudy,12.77777778,0.71,1020.51
Partly Cloudy,13.81111111,0.65,1020.91
Partly Cloudy,16.01666667,0.48,1020.6
Partly Cloudy,17.12777778,0.47,1020.39
Partly Cloudy,17.14444444,0.43,1020.34
Mostly Cloudy,17.77777778,0.4,1019.7
Mostly Cloudy,17.77777778,0.37,1018.89
Mostly Cloudy,17.80555556,0.43,1018.48
Mostly Cloudy,16.15555556,0.52,1017.87
Mostly Cloudy,14.05,0.63,1017.56
Mostly Cloudy,13.08888889,0.67,1017.38
Mostly Cloudy,12.28888889,0.72,1017.58
Overcast,12.77777778,0.66,1017.65
Overcast,12.72777778,0.67,1017.36
Overcast,12.26666667,0.69,1016.8
Overcast,11.71111111,0.71,1016.64
Partly Cloudy,10.82777778,0.86,1013.13
Overcast,12.2,0.59,1014.79
Overcast,12.2,0.6,1014.25
Overcast,11.68888889,0.68,1013.95
Overcast,11.20555556,0.77,1013.63
Mostly Cloudy,11.13333333,0.77,1013.27
Mostly Cloudy,11.43888889,0.77,1013.56
Mostly Cloudy,13.03333333,0.81,1012.85
Mostly Cloudy,17.24444444,0.62,1012.15
Mostly Cloudy,17.73888889,0.53,1011.71
Overcast,17.84444444,0.56,1011.28
Mostly Cloudy,18.86111111,0.56,1010.99
Overcast,18.66666667,0.56,1010.93
Overcast,17.82222222,0.56,1010.7
Overcast,17.8,0.59,1010.52
Mostly Cloudy,17.35,0.57,1010.69
Mostly Cloudy,16.06666667,0.67,1010.86
Mostly Cloudy,14.93333333,0.73,1011.14
Mostly Cloudy,13.92222222,0.78,1011.64
Mostly Cloudy,12.75555556,0.84,1012.02
Mostly Cloudy,12.75555556,0.84,1012.21
Mostly Cloudy,12.37222222,0.86,1012.33
Mostly Cloudy,11.18333333,0.93,1012.6
Mostly Cloudy,11.66666667,0.9,1012.8
Partly Cloudy,8.977777778,0.95,1012.66
Mostly Cloudy,10.57777778,0.93,1012.32
Mostly Cloudy,10.53333333,0.89,1012.33
Mostly Cloudy,10.58888889,0.87,1012.55
Mostly Cloudy,9.983333333,0.89,1012.71
Mostly Cloudy,11.02222222,0.86,1013.01
Partly Cloudy,13.53888889,0.75,1013.23
Partly Cloudy,13.88888889,0.68,1013.31
Partly Cloudy,15,0.67,1013.4
Partly Cloudy,17.18333333,0.57,1013.27
Mostly Cloudy,16.2,0.62,1013.02
Mostly Cloudy,17.75,0.56,1013.03
Mostly Cloudy,18.40555556,0.54,1012.55
Partly Cloudy,17.82222222,0.59,1012.03
Partly Cloudy,17.31111111,0.57,1011.81
Partly Cloudy,17.50555556,0.55,1011.33
Mostly Cloudy,17.26666667,0.54,1011.2
Mostly Cloudy,15.13888889,0.61,1011.5
Mostly Cloudy,13.25,0.69,1011.76
Partly Cloudy,12.29444444,0.72,1012.01
Partly Cloudy,10.7,0.79,1012.31
Partly Cloudy,9.855555556,0.85,1012.51
Partly Cloudy,9.522222222,0.88,1012.52
Partly Cloudy,8.405555556,0.92,1012.61
Mostly Cloudy,13.01111111,0.82,1011.27
Partly Cloudy,7.733333333,0.96,1012.54
Partly Cloudy,6.138888889,0.96,1012.44
Partly Cloudy,6.472222222,0.95,1012.62
Foggy,6.627777778,0.96,1012.75
Clear,8.688888889,0.93,1012.96
Partly Cloudy,11.99444444,0.81,1013.38
Partly Cloudy,13.76666667,0.78,1013.14
Partly Cloudy,15.08888889,0.77,1013.33
Partly Cloudy,16.45555556,0.68,1013.56
Partly Cloudy,17.31111111,0.62,1013.61
Partly Cloudy,17.87222222,0.64,1013.11
Partly Cloudy,19.03888889,0.47,1012.69
Partly Cloudy,18.97777778,0.51,1012.2
Partly Cloudy,19.00555556,0.55,1011.7
Mostly Cloudy,19.01111111,0.53,1011.4
Mostly Cloudy,17.86666667,0.64,1011.32
Mostly Cloudy,17.26666667,0.62,1011.23
Mostly Cloudy,16.18888889,0.61,1011.5
Mostly Cloudy,14.88333333,0.72,1012.05
Mostly Cloudy,14.32777778,0.75,1012.15
Overcast,14.51111111,0.75,1012.09
Overcast,14.37222222,0.75,1011.83
Overcast,14.87777778,0.72,1011.45
Foggy,10.40555556,0.92,1012.05
Overcast,12.82222222,0.83,1011.18
Overcast,12.8,0.85,1010.07
Overcast,12.82777778,0.86,1009.83
Overcast,12.26666667,0.85,1009.8
Overcast,12.26666667,0.85,1009.99
Mostly Cloudy,12.18333333,0.82,1010.21
Overcast,12.17222222,0.8,1010.41
Overcast,12.71111111,0.83,1010.33
Mostly Cloudy,15.60555556,0.78,1010.43
Mostly Cloudy,16.02222222,0.78,1010.29
Mostly Cloudy,17.2,0.67,1010.1
Overcast,17.21666667,0.71,1009.96
Mostly Cloudy,17.82777778,0.69,1009.86
Mostly Cloudy,17.82777778,0.69,1009.47
Partly Cloudy,17.73333333,0.69,1009.63
Mostly Cloudy,16.27222222,0.71,1009.39
Overcast,13.16666667,0.93,1011.07
Overcast,13.25555556,0.93,1011.23
Overcast,13.01111111,0.93,1011.35
Mostly Cloudy,12.45555556,0.91,1011.67
Mostly Cloudy,12.48888889,0.9,1011.76
Mostly Cloudy,9.555555556,0.8,1015.68
Mostly Cloudy,10.62222222,0.79,1015.41
Partly Cloudy,8.722222222,0.93,1014.98
Mostly Cloudy,10.53333333,0.77,1015.18
Mostly Cloudy,9.444444444,0.83,1014.7
Mostly Cloudy,9.888888889,0.83,1014.64
Mostly Cloudy,10.36666667,0.78,1014.31
Partly Cloudy,8.888888889,0.89,1014.63
Partly Cloudy,9.977777778,0.84,1014.82
Mostly Cloudy,12.2,0.73,1014.82
Mostly Cloudy,13.96111111,0.67,1015
Mostly Cloudy,14.94444444,0.67,1014.9
Mostly Cloudy,16.18333333,0.71,1014.35
Partly Cloudy,16.36666667,0.61,1014.51
Partly Cloudy,17.37222222,0.57,1014.32
Partly Cloudy,17.67222222,0.51,1013.93
Partly Cloudy,17.72222222,0.53,1013.45
Partly Cloudy,16.23888889,0.61,1013.43
Mostly Cloudy,14.06666667,0.71,1013.58
Partly Cloudy,13.95555556,0.76,1013.24
Partly Cloudy,12.28888889,0.8,1013.7
Partly Cloudy,10.02222222,0.86,1014.14
Partly Cloudy,9.377777778,0.86,1014.34
Partly Cloudy,9.416666667,0.9,1014.6
Partly Cloudy,11.82777778,0.92,1011.68
Foggy,10.76111111,0.91,1011.98
Mostly Cloudy,12.15555556,0.95,1015.64
Foggy,9.672222222,0.94,1012.26
Foggy,8.15,0.94,1012.63
Foggy,10.2,0.95,1012.62
Foggy,10.11666667,0.99,1012.85
Foggy,10.16111111,0.99,1013.61
Foggy,11.24444444,0.98,1013.9
Foggy,12.24444444,0.99,1014.31
Overcast,13.91111111,0.92,1014.43
Partly Cloudy,15.61666667,0.82,1014.73
Partly Cloudy,15.07222222,0.86,1014.92
Partly Cloudy,15.07222222,0.82,1014.73
Overcast,14.26666667,0.87,1014.92
Mostly Cloudy,16.01666667,0.81,1014.76
Overcast,15.02777778,0.86,1014.37
Overcast,13.94444444,0.89,1014.83
Overcast,12.91666667,0.95,1015.11
Overcast,12.89444444,0.95,1015.14
Overcast,12.4,0.98,1015.5
Clear,12.26666667,0.99,1015.76
Mostly Cloudy,12.22222222,0.96,1016.35
Mostly Cloudy,11.25,0.96,1016.38
Mostly Cloudy,11.52777778,0.96,1016.43
Foggy,11.53888889,0.96,1016.56
Foggy,9.438888889,0.96,1017.23
Overcast,11.43888889,0.96,1016.17
Overcast,11.39444444,0.96,1016.25
Overcast,11.52777778,0.96,1016.13
Foggy,11.95,0.93,1016.17
Foggy,11.97222222,1,1016.45
Foggy,12.63333333,0.96,1016.94
Overcast,12.75555556,0.96,1017.06
Overcast,13.84444444,0.9,1017.45
Overcast,13.17222222,0.94,1017.77
Mostly Cloudy,15.06666667,0.86,1017.73
Partly Cloudy,17.24444444,0.75,1017.53
Partly Cloudy,16.31666667,0.76,1017.31
Partly Cloudy,17.38333333,0.74,1016.82
Mostly Cloudy,15.27222222,0.76,1016.6
Partly Cloudy,17.45555556,0.72,1016.39
Partly Cloudy,16.22222222,0.77,1016.33
Partly Cloudy,15.08333333,0.82,1016.52
Partly Cloudy,13.99444444,0.88,1016.81
Partly Cloudy,12.17222222,0.92,1017.34
Foggy,11.08888889,0.95,1017.54
Foggy,11.09444444,0.95,1017.43
Foggy,9.883333333,0.96,1017.65
Clear,9.355555556,0.96,1017.56
Clear,9.861111111,0.96,1016.16
Foggy,8.272222222,0.99,1017.16
Foggy,8.866666667,0.96,1017.15
Foggy,8.816666667,0.96,1017.28
Foggy,7.155555556,1,1017.15
Foggy,8.85,0.99,1017.36
Foggy,11.17777778,0.93,1017.7
Mostly Cloudy,12.38888889,0.98,1017.72
Mostly Cloudy,14.14444444,0.88,1017.82
Partly Cloudy,17.1,0.72,1017.77
Partly Cloudy,18.93888889,0.64,1017.3
Partly Cloudy,17.91666667,0.68,1016.9
Partly Cloudy,19.98333333,0.53,1016.4
Partly Cloudy,20.07222222,0.62,1015.9
Partly Cloudy,20.07222222,0.56,1015.29
Partly Cloudy,20.08333333,0.58,1014.9
Partly Cloudy,19.08888889,0.63,1014.68
Partly Cloudy,17.45,0.62,1014.78
Partly Cloudy,15.56666667,0.74,1015.04
Clear,12.49444444,0.91,1015.51
Clear,12.24444444,0.89,1015.72
Clear,11.41666667,0.92,1015.79
Clear,10.55555556,0.95,1015.83
Clear,10.46666667,0.93,1015.95
Partly Cloudy,10.25,0.95,1017.13
Clear,9.355555556,0.96,1015.82
Foggy,8.311111111,0.96,1015.82
Foggy,8.811111111,0.96,1015.89
Foggy,8.733333333,0.93,1015.83
Partly Cloudy,11.93333333,0.93,1016.12
Partly Cloudy,14.51666667,0.84,1016.23
Partly Cloudy,18.73333333,0.68,1016.23
Partly Cloudy,20.02777778,0.6,1016.38
Partly Cloudy,21.03888889,0.55,1016.66
Partly Cloudy,20.73888889,0.46,1016.58
Partly Cloudy,22.31666667,0.48,1016.27
Partly Cloudy,22.11111111,0.5,1015.96
Partly Cloudy,22.73333333,0.38,1015.34
Partly Cloudy,22.77777778,0.37,1014.7
Partly Cloudy,21.21666667,0.41,1015.2
Partly Cloudy,20.18333333,0.45,1014.87
Partly Cloudy,18.01111111,0.68,1014.78
Partly Cloudy,17.42222222,0.65,1015.54
Partly Cloudy,13.96111111,0.82,1016.01
Partly Cloudy,13.28888889,0.89,1016.52
Partly Cloudy,12.32222222,0.89,1016.96
Partly Cloudy,11.11666667,0.95,1017.04
Partly Cloudy,10.53333333,0.95,1017.33
Clear,12.38333333,0.8,1019.59
Partly Cloudy,9.861111111,0.96,1017.25
Partly Cloudy,8.872222222,0.95,1017.42
Partly Cloudy,8.672222222,0.94,1017.74
Foggy,7.688888889,1,1018.13
Clear,10.91111111,0.99,1018.62
Clear,14.83888889,0.82,1019.08
Clear,18.8,0.65,1019.11
Clear,21.09444444,0.49,1019.5
Partly Cloudy,22.02777778,0.49,1019.86
Partly Cloudy,22.82777778,0.47,1019.79
Partly Cloudy,22.91666667,0.37,1019.47
Partly Cloudy,23.91666667,0.37,1019.25
Partly Cloudy,23.91111111,0.4,1018.89
Partly Cloudy,23.93333333,0.37,1018.6
Partly Cloudy,23.91666667,0.32,1018.67
Partly Cloudy,22.82222222,0.44,1018.59
Partly Cloudy,21.22777778,0.48,1018.67
Partly Cloudy,19.07777778,0.51,1019.22
Partly Cloudy,17.06111111,0.63,1019.88
Clear,14.90555556,0.72,1019.91
Clear,13.08333333,0.87,1020.02
Clear,12.71111111,0.89,1020.11
Clear,12.12777778,0.89,1020.12
Clear,11.81111111,0.84,1018.38
Clear,12.01666667,0.8,1019.91
Clear,12.04444444,0.8,1020.03
Partly Cloudy,10.62777778,0.86,1020.39
Clear,9.911111111,0.99,1020.6
Mostly Cloudy,12.55555556,0.9,1020.81
Partly Cloudy,15.00555556,0.78,1021.01
Partly Cloudy,17.33888889,0.74,1020.94
Partly Cloudy,19.1,0.67,1020.66
Partly Cloudy,21.26111111,0.57,1020.53
Partly Cloudy,22.41111111,0.54,1020.16
Mostly Cloudy,22.93888889,0.5,1019.95
Mostly Cloudy,23.92777778,0.47,1019.43
Mostly Cloudy,23.96111111,0.47,1018.97
Mostly Cloudy,23.96111111,0.38,1018.28
Mostly Cloudy,23.11111111,0.42,1017.97
Mostly Cloudy,22.82222222,0.44,1017.68
Mostly Cloudy,21.11111111,0.47,1017.89
Mostly Cloudy,18.18888889,0.58,1017.96
Mostly Cloudy,16.01666667,0.72,1018.31
Partly Cloudy,15.46666667,0.72,1018.6
Partly Cloudy,14.60555556,0.76,1018.65
Clear,13.31111111,0.82,1018.44
Clear,12.73333333,0.83,1018.23
Partly Cloudy,13.78888889,0.77,1014.58
Partly Cloudy,10.57777778,0.88,1018.11
Partly Cloudy,10.48333333,0.92,1017.73
Partly Cloudy,10.28888889,0.91,1017.7
Clear,9.972222222,0.92,1017.62
Mostly Cloudy,13.63888889,0.9,1017.54
Mostly Cloudy,16.73888889,0.74,1017.7
Mostly Cloudy,18.83888889,0.65,1017.78
Mostly Cloudy,21.16111111,0.59,1017.3
Mostly Cloudy,22.58888889,0.53,1017.19
Mostly Cloudy,22.89444444,0.48,1016.68
Mostly Cloudy,24.00555556,0.47,1016.08
Mostly Cloudy,24.00555556,0.35,1015.62
Mostly Cloudy,23.97777778,0.44,1014.86
Mostly Cloudy,25.04444444,0.32,1013.97
Mostly Cloudy,24.07777778,0.35,1013.39
Mostly Cloudy,22.38333333,0.45,1013.18
Mostly Cloudy,21.20555556,0.52,1013.21
Mostly Cloudy,18.26111111,0.62,1013.75
Mostly Cloudy,17.2,0.67,1014.13
Partly Cloudy,15.99444444,0.75,1014.13
Clear,15.96111111,0.79,1014.06
Mostly Cloudy,15.44444444,0.72,1013.92
Partly Cloudy,14.37222222,0.75,1013.82
Mostly Cloudy,13.60555556,0.9,1012.67
Partly Cloudy,12.82222222,0.82,1013.04
Partly Cloudy,12.75,0.83,1013.03
Partly Cloudy,11.41666667,0.92,1012.98
Partly Cloudy,12.33333333,0.86,1012.83
Mostly Cloudy,14.90555556,0.78,1013.03
Mostly Cloudy,15.89444444,0.74,1013.13
Mostly Cloudy,17.22777778,0.72,1013.13
Mostly Cloudy,17.82777778,0.73,1013.1
Mostly Cloudy,17.91666667,0.72,1013.17
Mostly Cloudy,19.05555556,0.67,1013
Mostly Cloudy,20.14444444,0.67,1012.69
Mostly Cloudy,20.26111111,0.62,1012.54
Mostly Cloudy,21.20555556,0.62,1011.87
Overcast,21.25555556,0.67,1011.19
Overcast,20.23333333,0.66,1011.17
Overcast,19.07777778,0.71,1011.08
Mostly Cloudy,17.94444444,0.77,1011.28
Mostly Cloudy,15.49444444,0.82,1012.08
Mostly Cloudy,14.14444444,0.89,1012.64
Mostly Cloudy,14.53888889,0.86,1012.79
Mostly Cloudy,14.13888889,0.86,1012.79
Mostly Cloudy,13.4,0.9,1012.56
Mostly Cloudy,13.42777778,0.9,1012.8
Partly Cloudy,11.58888889,0.74,1009.9
Mostly Cloudy,14.42222222,0.83,1011.91
Mostly Cloudy,13.91666667,0.86,1011.72
Mostly Cloudy,13.4,0.9,1011.51
Overcast,13.86666667,0.9,1011.51
Mostly Cloudy,14.90555556,0.84,1011.6
Mostly Cloudy,15.93333333,0.74,1011.59
Mostly Cloudy,17.12777778,0.65,1011.41
Mostly Cloudy,18.75,0.58,1011.2
Mostly Cloudy,18.96111111,0.6,1011.25
Mostly Cloudy,19.99444444,0.54,1010.98
Mostly Cloudy,21.11111111,0.5,1010.48
Mostly Cloudy,21.09444444,0.46,1010.24
Partly Cloudy,21.17777778,0.43,1009.55
Partly Cloudy,21.22777778,0.41,1009.04
Partly Cloudy,20.1,0.45,1008.55
Mostly Cloudy,19.02777778,0.51,1008.17
Mostly Cloudy,17.85,0.59,1008.46
Mostly Cloudy,16.26111111,0.66,1008.94
Partly Cloudy,14.98333333,0.72,1009.55
Mostly Cloudy,14.46666667,0.65,1009.57
Partly Cloudy,13.94444444,0.6,1009.53
Partly Cloudy,12.31666667,0.65,1009.56
Partly Cloudy,11.76111111,0.66,1009.47
Mostly Cloudy,10.82777778,0.62,1011.18
Partly Cloudy,10.13888889,0.73,1009.25
Partly Cloudy,10.62777778,0.71,1008.87
Partly Cloudy,10.60555556,0.69,1008.82
Mostly Cloudy,10.07222222,0.71,1008.84
Mostly Cloudy,11.16111111,0.71,1009.07
Partly Cloudy,12.88888889,0.67,1009.23
Clear,15.05,0.6,1009.25
Mostly Cloudy,15.16111111,0.59,1009.44
Mostly Cloudy,16.27222222,0.56,1009.76
Mostly Cloudy,17.8,0.46,1009.34
Mostly Cloudy,17.93888889,0.46,1009.14
Mostly Cloudy,18.85555556,0.41,1009.01
Mostly Cloudy,17.98888889,0.43,1008.83
Mostly Cloudy,17.96111111,0.51,1008.43
Mostly Cloudy,17.36111111,0.47,1008.7
Mostly Cloudy,16.25,0.52,1009.03
Mostly Cloudy,14.12222222,0.47,1009.42
Mostly Cloudy,12.95,0.55,1010.18
Mostly Cloudy,12.24444444,0.52,1010.85
Mostly Cloudy,11.68888889,0.57,1011.08
Mostly Cloudy,11.15555556,0.59,1011.22
Partly Cloudy,9.216666667,0.9,1014.24
Partly Cloudy,8.683333333,0.9,1014.73
Mostly Cloudy,9.188888889,0.77,1013.46
Partly Cloudy,8.594444444,0.93,1014.81
Partly Cloudy,7.505555556,0.93,1014.35
Partly Cloudy,6.216666667,0.95,1014.42
Foggy,5.855555556,0.93,1014.35
Clear,5.933333333,1,1014.55
Clear,10.40555556,1,1014.91
Partly Cloudy,12.54444444,0.78,1014.44
Partly Cloudy,13.86111111,0.77,1014.52
Partly Cloudy,15.97777778,0.63,1014.75
Partly Cloudy,17.26666667,0.57,1014.41
Partly Cloudy,17.84444444,0.5,1014.02
Partly Cloudy,16.42777778,0.54,1013.55
Partly Cloudy,17.77777778,0.46,1013.02
Partly Cloudy,17.84444444,0.45,1011.95
Partly Cloudy,17.3,0.5,1012.11
Partly Cloudy,15.18333333,0.65,1012.13
Mostly Cloudy,13.00555556,0.7,1012.52
Mostly Cloudy,12.69444444,0.74,1013.08
Partly Cloudy,12.19444444,0.72,1013.35
Partly Cloudy,12.08333333,0.71,1013.19
Partly Cloudy,10.61666667,0.74,1013.54
Mostly Cloudy,11.6,0.57,1011.68
Mostly Cloudy,11.02222222,0.6,1011.79
Mostly Cloudy,11.88888889,0.6,1013.76
Mostly Cloudy,10.41666667,0.64,1011.39
Mostly Cloudy,10.3,0.67,1011.42
Mostly Cloudy,9.483333333,0.72,1011.65
Mostly Cloudy,9.772222222,0.68,1011.83
Mostly Cloudy,10.93333333,0.67,1012.42
Mostly Cloudy,11.65555556,0.66,1012.96
Mostly Cloudy,13.93888889,0.55,1012.97
Mostly Cloudy,15.02777778,0.54,1013.36
Mostly Cloudy,16.03888889,0.47,1013.41
Mostly Cloudy,15.22777778,0.51,1013.34
Mostly Cloudy,16.20555556,0.44,1013.62
Partly Cloudy,17.3,0.43,1013.28
Partly Cloudy,17.77777778,0.43,1012.98
Partly Cloudy,17.8,0.38,1012.5
Partly Cloudy,17.26111111,0.39,1012.61
Mostly Cloudy,17.2,0.38,1012.88
Mostly Cloudy,15.02222222,0.45,1012.98
Mostly Cloudy,13.92777778,0.47,1013.73
Mostly Cloudy,12.36666667,0.57,1014.17
Mostly Cloudy,12.29444444,0.59,1014.46
Mostly Cloudy,12.78888889,0.56,1014.45
Partly Cloudy,9.533333333,0.76,1013.49
Mostly Cloudy,9.972222222,0.71,1013.41
Partly Cloudy,4.911111111,0.91,1015.4
Partly Cloudy,7.916666667,0.78,1013.19
Partly Cloudy,7.383333333,0.82,1012.8
Mostly Cloudy,7.972222222,0.82,1013.1
Overcast,8.816666667,0.84,1013.14
Mostly Cloudy,8.794444444,0.84,1013.64
Overcast,7.888888889,0.89,1014.12
Overcast,7.8,0.96,1014.48
Overcast,7.822222222,0.95,1014.97
Overcast,7.944444444,0.95,1015.66
Overcast,8.077777778,0.94,1015.89
Overcast,10.22777778,0.81,1015.69
Overcast,11.36111111,0.74,1015.59
Mostly Cloudy,12.45,0.7,1015.24
Partly Cloudy,12.91666667,0.67,1014.77
Partly Cloudy,12.55,0.62,1014.73
Partly Cloudy,12.38333333,0.69,1014.49
Partly Cloudy,10.22777778,0.75,1014.7
Partly Cloudy,9.227777778,0.78,1015.38
Clear,7.827777778,0.87,1015.81
Clear,6.677777778,0.91,1015.89
Clear,6.122222222,0.91,1015.9
Partly Cloudy,5.327777778,0.95,1015.92
Clear,4.355555556,0.95,1015.89
Mostly Cloudy,9.272222222,0.89,1007.55
Partly Cloudy,4.261111111,0.92,1015.21
Partly Cloudy,3.216666667,0.92,1015.18
Partly Cloudy,3.905555556,0.92,1014.89
Foggy,2.711111111,0.96,1014.29
